work_year,experience_level,employment_type,job,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_summary
2021,MI,FT,Cyber Security,Security Engineer,140000,EUR,165488,Netherlands,50,Netherlands,L,
2021,SE,FT,Cyber Security,Cyber Security Analyst,140000,USD,140000,United States,100,United States,L,
2021,SE,FT,Cyber Security,Cyber Security Architect,140000,USD,140000,United States,100,United States,L,
2020,SE,FT,DevOps,Principal Cloud Security Engineer,50000,GBP,64132,United Kingdom,100,United Kingdom,L,
2021,MI,FT,,Penetration Tester,1740,EUR,2056,Portugal,100,Portugal,M,
2021,SE,FT,Cyber Security,Cyber Security Specialist,75000,EUR,88654,Netherlands,50,Netherlands,S,
2020,SE,FT,Cyber Security,Cyber Security Specialist,45000,EUR,51321,Spain,100,Spain,S,
2021,SE,FT,Cyber Security,Security Engineer,50000,EUR,59102,Portugal,100,Portugal,L,
2020,EN,FT,Cyber Security,Information Security Analyst,240000,INR,3238,India,0,India,M,
2021,MI,FT,Cyber Security,Cyber Security Engineer,80000,EUR,94564,France,100,France,L,
2021,EX,FT,Cyber Security,Chief Information Security Officer,142000,GBP,195316,United Kingdom,100,United Kingdom,L,
2020,SE,FT,,Penetration Testing Engineer,62000,EUR,70709,Spain,100,Spain,L,
2021,MI,FT,Cyber Security,Security Engineer,70000,EUR,82744,Germany,50,Germany,L,
2020,EN,FT,Cyber Security,Cyber Security Engineer,35000,GBP,44892,United Kingdom,100,United Kingdom,L,
2021,SE,FT,Cyber Security,Information Security Specialist,155000,CHF,169525,Switzerland,100,Switzerland,L,
2020,SE,FT,Cyber Security,Cyber Security Specialist,900000,ZAR,54727,South Africa,100,South Africa,L,
2021,EN,FT,Cyber Security,IT Security Engineer,16800,EUR,19858,Greece,50,Greece,M,
2020,MI,FT,Cyber Security,Cyber Security Specialist,26000,EUR,29652,Italy,50,Italy,M,
2020,MI,FT,,Ethical Hacker,52000,EUR,59304,France,100,France,L,
2020,SE,FT,,Penetration Tester,198000,PLN,50831,Poland,100,Poland,L,
2020,EN,FT,Data Scientist,SOC Analyst,60000,USD,60000,United States,100,United States,L,
2020,SE,FT,,Penetration Tester,75000,GBP,96198,United Kingdom,100,United Kingdom,M,
2021,SE,FT,DevOps,Cloud Security Engineer,140000,USD,140000,United States,0,United States,L,
2020,SE,FT,Cyber Security,Information Security Engineer,29950,EUR,34157,Greece,50,Greece,L,
2021,EX,FT,,Penetration Tester,70000,EUR,82744,France,50,France,L,
2020,EN,FT,,Penetration Tester,53000,NZD,34414,New Zealand,100,New Zealand,M,
2020,SE,CT,Cyber Security,Cyber Security Analyst,150000,GBP,192396,United Kingdom,100,United Kingdom,L,
2021,MI,FT,,Penetration Tester,33000,EUR,39007,Spain,100,Spain,M,
2020,SE,FT,Cyber Security,Cyber Security Architect,72000,EUR,82114,Belgium,0,Belgium,M,
2020,MI,FT,Cyber Security,Security Engineer,90000,USD,90000,Switzerland,50,Switzerland,S,
2021,SE,FT,Cyber Security,IT Security Engineer,70000,EUR,82744,Austria,100,Austria,S,
2020,MI,FT,Cyber Security,Cyber Security Analyst,100000,USD,100000,United States,0,United States,L,
2020,MI,FT,Cyber Security,Information Security Manager,120000,EUR,136856,Germany,50,Germany,L,
2020,MI,FT,Mobile Developer,Application Security Engineer,8223,USD,8223,India,100,India,L,
2021,SE,FT,Cyber Security,Cyber Security Engineer,56000,EUR,66195,France,50,France,S,
